DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
01M292,52,124,56,158,272,12,281,234,5,4,0,0,0,4,0,1,Orchard Collegiate Academy,2019-20,226,101,125,27,58,127,0,4,6,21,191,87.8
01M448,54,111,110,128,232,18,275,213,59,31,19,3,16,12,20,6,University Neighborhood High School,2017-18,465,198,267,141,100,206,1,2,15,49,415,82.9
01M450,27,146,34,145,326,33,285,261,76,65,64,0,64,1,9,2,East Side Community School,2017-18,683,317,366,81,113,367,6,6,100,6,447,62.9
01M458,4,19,3,59,136,8,96,117,70,12,9,0,9,3,15,40,Forsyth Satellite Academy,2017-18,203,117,86,1,70,121,1,1,9,16,176,85
01M515,462,4,501,24,24,2,314,237,234,59,59,37,22,0,70,104,Lower East Side Preparatory High School,2017-18,557,237,320,318,58,165,0,6,10,392,431,95
01M539,7,47,373,172,234,660,705,775,58,55,55,42,13,0,2,1,"New Explorations into Science, Technology and Math",2017-18,1734,831,903,575,134,204,107,13,692,14,415,28.2
01M650,7,15,1,99,108,9,87,131,5,2,0,0,0,2,0,2,Cascades High School,2017-18,241,132,109,10,95,127,0,4,5,7,205,85.5
01M696,2,4,87,84,95,313,187,401,146,145,145,0,145,0,0,1,Bard High School Early College,2017-18,588,371,217,167,80,100,11,0,230,1,259,41.4
02M047,4,94,9,54,117,28,87,125,38,31,26,4,22,5,5,1,47 The American Sign Language and English Secondar,2017-18,165,123,42,3,47,107,0,0,5,13,146,83.6
02M288,9,80,13,191,206,21,195,238,15,10,4,0,4,6,1,2,Food and Finance High School,2017-18,378,211,167,17,150,188,2,1,10,20,335,78.8
02M294,18,67,17,95,191,24,177,151,81,64,55,0,55,9,1,15,Essex Street Academy,2017-18,340,188,152,21,130,139,4,5,20,12,239,71.7
02M296,40,62,22,111,277,9,135,284,41,35,34,0,34,1,5,0,High School of Hospitality Management,2017-18,391,280,111,16,110,235,1,7,10,37,361,86.2
02M298,9,52,45,150,172,28,186,227,6,5,5,3,2,0,0,0,Pace High School,2017-18,537,311,225,43,177,272,2,0,21,13,435,74.9
02M300,14,17,10,57,115,9,146,62,56,42,36,1,35,6,0,14,"Urban Assembly School of Design and Construction,",2017-18,356,104,252,18,86,239,0,2,5,37,308,87
02M303,20,17,3,29,73,4,72,42,10,5,5,0,5,0,0,4,"Facing History School, The",2017-18,382,174,208,5,94,271,0,1,6,57,316,87.1
02M305,2,9,5,32,35,9,44,38,55,40,33,1,32,7,0,13,"Urban Assembly Academy of Government and Law, The",2017-18,307,166,141,11,123,162,1,2,8,17,267,85.8
02M308,1,14,7,39,30,3,37,46,67,58,56,1,55,2,2,5,Lower Manhattan Arts Academy,2017-18,329,234,95,27,91,183,0,4,9,21,249,82.1
02M313,4,6,2,34,37,7,35,48,14,9,4,0,4,5,3,0,"James Baldwin School, The: A School for Expedition",2017-18,258,133,125,7,106,130,2,0,13,16,212,80.3
02M316,1,11,1,26,68,3,,107,33,25,23,0,23,2,0,7,"Urban Assembly School of Business for Young Women,",2017-18,232,232,0,6,136,72,4,1,6,12,195,80.5
02M374,17,42,3,193,171,14,144,239,88,77,72,1,71,5,9,2,Gramercy Arts High School,2017-18,491,364,127,18,176,238,4,7,30,8,407,76.3
02M376,,6,10,28,40,21,41,59,105,103,103,0,103,0,0,2,NYC iSchool,2017-18,457,251,205,39,79,110,9,5,188,5,185,39.4
02M392,9,18,11,33,63,7,58,64,40,36,33,4,29,3,1,3,Manhattan Business Academy,2017-18,423,190,233,22,87,287,1,3,16,32,385,80.6
02M393,9,23,4,33,58,7,89,14,72,53,43,0,43,10,7,6,Business Of Sports School,2017-18,426,178,248,6,143,261,0,2,10,36,317,80.5
02M394,136,1,93,3,51,3,76,74,35,20,20,10,10,0,8,7,Emma Lazarus High School,2017-18,296,139,157,134,30,98,0,8,26,237,281.2,95
02M399,36,13,43,15,34,6,49,51,20,11,10,3,7,1,9,0,The High School For Language And Diplomacy,2017-18,327,176,151,102,65,137,0,2,15,46,259,82.9
02M400,76,137,238,318,603,253,702,772,12,5,3,0,3,2,2,5,High School for Environmental Studies,2017-18,1194,608,586,145,196,756,0,9,79,101,980,79.7
02M407,,32,31,101,102,182,222,199,20,18,0,0,0,18,1,1,Institute for Collaborative Education,2017-18,492,230,262,34,94,82,22,4,256,4,129,33.1
02M408,2,19,16,102,75,193,115,305,38,37,34,7,27,3,0,1,Professional Performing Arts High School,2017-18,565,423,142,37,120,121,29,2,241,1,214,38.9
02M411,5,6,232,28,39,106,146,263,8,8,6,0,6,2,0,0,Baruch College Campus High School,2017-18,460,269,191,180,21,61,11,2,179,2,196,39.9
02M412,2,50,119,48,53,241,209,263,114,111,108,62,46,3,3,0,N.Y.C. Lab School for Collaborative Studies,2017-18,498,256,242,98,22,66,18,4,276,4,152,32.4
02M413,14,98,108,83,175,256,342,331,23,21,21,0,21,0,0,1,School of the Future High School,2017-18,750,358,392,128,83,198,65,3,273,13,299,42
02M414,4,49,147,62,158,72,188,252,12,11,9,3,6,2,1,0,N.Y.C. Museum School,2017-18,450,268,182,131,61,152,4,2,85,6,302,63.4
02M416,,12,104,36,52,265,179,300,141,140,140,125,15,0,0,1,Eleanor Roosevelt High School,2017-18,541,327,214,91,18,66,10,8,347,0,120,23.2
02M418,3,20,176,48,84,108,191,267,95,94,94,63,31,0,0,1,Millennium High School,2017-18,666,416,250,300,36,88,9,2,209,6,316,48
02M419,66,79,22,76,315,8,204,217,20,10,0,0,0,10,1,6,Landmark High School,2017-18,348,189,159,11,116,206,1,4,9,23,309,85.6
02M420,75,167,336,420,870,92,502,1219,65,64,57,17,40,7,0,1,High School for Health Professions and Human Servi,2017-18,1819,1294,525,386,292,972,4,20,137,99,1377,76.4
02M425,35,78,77,181,363,58,283,399,12,3,1,0,1,2,1,4,Leadership and Public Service High School,2017-18,523,294,229,39,144,313,2,2,19,27,437,83.4
02M427,67,10,6,9,62,2,44,35,42,12,12,0,12,0,7,23,Manhattan Academy For Arts & Language,2017-18,269,124,145,4,10,247,0,0,8,184,255.55,95
02M432,13,32,12,65,54,8,80,61,16,11,3,0,3,8,4,1,Murray Hill Academy,2017-18,317,161,156,24,99,168,1,3,16,18,265,79.1
02M437,9,17,8,28,60,11,74,36,95,91,81,0,81,10,1,2,Hudson High School of Learning Technologies,2017-18,476,153,323,31,136,277,1,4,19,47,405,82.6
02M438,82,,30,8,46,3,51,36,5,5,5,0,5,0,0,0,International High School at Union Square,2017-18,360,152,208,65,66,196,0,2,31,311,306,95
02M439,14,39,29,93,198,21,136,225,10,8,6,2,4,2,0,0,Manhattan Village Academy,2017-18,456,273,183,41,62,308,0,1,39,9,354,68
02M449,32,82,23,124,256,20,194,237,80,66,66,0,66,0,1,11,Vanguard High School,2017-18,446,232,214,20,123,263,1,2,24,16,363,79.5
02M459,222,2,92,37,153,44,143,186,41,39,39,0,39,0,2,0,Manhattan International High School,2017-18,337,151,186,59,50,181,0,0,46,239,288,94.2
02M475,1,7,1747,66,99,1081,1713,1302,793,790,790,775,15,0,2,1,Stuyvesant High School,2017-18,3336,1428,1906,2451,24,92,85,13,595,0,1547,41.7
02M489,45,48,185,174,300,73,377,383,122,107,104,16,88,3,12,3,High School of Economics and Finance,2017-18,738,302,436,160,175,331,4,8,54,48,600,76.9
02M500,13,39,3,98,96,3,96,107,57,39,33,0,33,6,2,14,Unity Center for Urban Technologies,2017-18,255,75,180,10,75,151,3,1,8,20,227,83.2
02M507,11,25,9,51,59,6,93,33,25,21,12,1,11,9,1,2,Urban Assembly Gateway School for Technology,2017-18,445,91,353,37,130,235,2,3,23,10,265,67.5
02M519,1,7,7,156,160,84,122,320,122,118,118,32,86,0,4,0,Talent Unlimited High School,2017-18,478,381,97,17,147,205,8,2,68,3,266,52.7
02M520,409,315,620,764,1351,119,1434,1473,128,71,64,4,60,7,34,21,Murry Bergtraum High School for Business Careers,2017-18,271,138,133,14,135,110,0,1,8,23,210,81.1
02M529,44,65,28,179,436,30,259,441,13,5,0,0,0,5,2,6,Jacqueline Kennedy Onassis High School,2017-18,567,316,251,35,130,371,3,5,20,58,460,83.2
02M531,9,18,3,84,75,8,47,133,45,43,41,6,35,2,1,1,Repertory Company High School for Theatre Arts,2017-18,242,199,43,4,82,115,0,0,26,1,168,61.7
02M542,281,2,3,2,311,1,153,165,14,13,11,2,9,2,0,1,Manhattan Bridges High School,2017-18,517,266,251,1,2,511,0,0,1,251,430,92.1
02M543,8,35,12,93,152,15,119,162,71,53,52,0,52,1,16,2,New Design High School,2017-18,427,255,172,28,157,226,4,1,6,22,348,86.5
02M544,15,30,6,198,221,25,228,222,111,8,7,1,6,1,65,38,Independence High School,2017-18,334,164,170,7,103,190,2,3,29,27,309,89.1
02M545,175,5,282,22,12,6,180,144,54,52,52,43,9,0,1,1,High School for Dual Language and Asian Studies,2017-18,396,243,153,341,14,18,4,0,11,52,350,80.9
02M550,358,8,102,79,167,47,242,155,45,6,5,0,5,1,13,25,Liberty High School Academy for Newcomers,2017-18,427,174,253,46,104,227,0,3,47,354,341,95
02M551,22,73,7,161,218,30,251,166,73,63,57,4,53,6,4,6,Urban Assembly New York Harbor School,2017-18,534,186,348,38,95,212,4,5,156,14,290,53.4
02M560,12,53,48,262,262,159,366,372,35,8,2,0,2,6,27,0,High School M560 - City As School,2017-18,627,343,284,29,234,264,11,4,85,19,407,70.8
02M565,1,,5,47,31,37,50,73,15,12,12,0,12,0,1,0,Urban Academy Laboratory High School,2017-18,160,100,60,7,49,60,2,0,42,0,95,54.7
02M570,16,35,4,87,148,7,96,152,140,99,93,0,93,6,11,29,Satellite Academy High School,2017-18,298,176,122,1,114,172,0,3,8,13,232,84.3
02M575,541,37,311,243,236,33,476,350,246,45,45,2,43,0,141,57,Manhattan Comprehensive Night and Day High School,2017-18,722,305,417,164,216,289,5,5,43,380,675,90.6
02M580,32,92,25,222,343,16,196,422,92,71,67,1,66,4,1,17,Richard R. Green High School of Teaching,2017-18,499,332,166,36,125,301,2,6,13,22,423,79
02M586,2,9,8,30,21,5,31,33,31,8,8,0,8,0,17,6,Harvey Milk High School,2017-18,64,36,28,1,12,45,0,0,6,4,59,86.9
02M600,66,167,57,575,882,107,181,1478,30,18,1,0,1,17,1,5,The High School of Fashion Industries,2017-18,1590,1463,126,95,528,880,5,4,70,52,1331,76.2
02M605,4,21,6,65,72,24,83,86,36,26,26,0,26,0,9,1,Humanities Preparatory Academy,2017-18,235,129,106,17,52,144,2,1,17,8,195,77.1
02M615,68,143,28,376,596,22,651,389,139,92,71,9,62,21,2,36,Chelsea Career and Technical Education High School,2017-18,430,129,300,46,95,260,1,3,17,17,382,79.4
02M630,42,146,82,367,734,135,829,602,314,276,269,47,222,7,12,20,Art and Design High School,2017-18,1447,919,528,100,242,817,61,8,216,10,928,57.8
02M655,29,70,33,237,392,21,303,396,92,83,43,7,36,40,4,4,The High School for Climate Justice,2017-18,574,294,280,38,167,337,4,3,19,52,475,85.5
03M299,60,82,4,156,246,6,233,185,66,49,48,0,48,1,10,5,The Maxine Greene HS for Imaginative Inquiry,2017-18,378,206,172,6,133,219,1,2,7,42,316,87.3
03M307,47,56,8,137,205,11,212,154,45,35,18,0,18,17,0,10,"Urban Assembly School for Media Studies, The",2017-18,397,211,185,10,136,231,1,3,9,28,342,85
03M402,47,49,4,41,138,3,103,83,5,3,2,0,2,1,2,0,The Urban Assembly School for Green Careers,2017-18,311,143,167,7,85,191,1,1,21,41,268,82.6
03M403,53,48,8,61,129,12,114,96,73,63,57,8,49,6,1,9,The Global Learning Collaborative,2017-18,436,202,234,10,107,292,4,3,18,67,361,86.6
03M404,7,20,97,66,33,3,95,104,45,1,1,0,1,0,42,2,Innovation Diploma Plus,2017-18,188,94,94,2,70,113,0,0,3,4,155,85.4
03M415,47,146,7,529,296,1,401,437,95,63,40,5,35,23,2,9,Wadleigh Secondary School for the Performing & Vis,2017-18,278,188,90,2,150,109,1,4,8,9,229,85
03M417,1,19,7,18,42,31,49,51,72,71,69,7,62,2,1,0,Frank McCourt High School,2017-18,411,224,186,17,64,184,5,2,121,10,228,49.2
03M479,6,61,58,199,250,474,459,583,13,12,4,0,4,8,1,0,Beacon High School,2017-18,1380,868,510,121,186,262,29,11,695,4,354,29.7
03M485,18,14,410,386,429,1001,704,1760,27,27,27,22,5,0,0,0,Fiorello H. LaGuardia High School of Music & Art a,2017-18,2809,2126,679,559,281,485,151,7,1261,6,832,31
03M492,52,75,8,258,233,11,223,298,89,70,65,24,41,5,1,17,"High School for Law, Advocacy and Community Justic",2017-18,466,269,197,11,162,276,3,1,13,26,416,83.1
03M494,64,88,22,262,330,13,392,241,151,74,41,1,40,33,40,32,High School of Arts and Technology,2017-18,504,174,329,25,173,282,0,5,14,54,434,87.6
03M505,22,87,5,248,319,12,287,302,105,49,44,0,44,5,32,24,Edward A. Reynolds West Side High School,2017-18,500,239,261,2,136,338,0,4,20,59,475,87.1
03M541,14,5,74,65,118,38,136,184,9,9,8,0,8,1,0,0,Manhattan / Hunter Science High School,2017-18,442,250,192,124,70,146,6,3,83,2,272,53.9
03M860,6,32,1,309,68,3,180,209,31,22,16,0,16,6,8,1,Frederick Douglass Academy II Secondary School,2017-18,354,122,232,10,226,110,0,2,4,41,294,86.9
04M435,114,139,201,359,930,51,810,773,407,393,393,178,215,0,2,8,Manhattan Center for Science and Mathematics,2017-18,1625,807,816,312,299,884,5,15,80,112,1392,77
