DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
09X324,43,64,11,118,244,3,189,188,9,8,2,0,2,6,1,0,Bronx Early College Academy for Teaching & Learnin,2017-18,522,262,260,15,138,357,0,2,8,62,468,89.8
09X329,79,58,3,92,249,0,149,199,11,3,2,0,2,1,1,7,DreamYard Preparatory School,2017-18,266,154,112,2,74,188,0,0,1,78,229,93
09X365,316,4,0,2,362,0,185,179,5,5,5,2,3,0,0,0,Academy for Language and Technology,2017-18,323,136,187,0,1,322,0,0,0,221,306.85,95
09X403,306,16,8,73,266,9,177,179,50,36,12,0,12,24,0,11,Bronx International High School,2017-18,414,213,201,11,55,333,0,4,11,388,393.3,95
09X404,80,101,1,133,249,0,202,184,88,61,30,0,30,31,2,25,School for Excellence,2017-18,375,170,205,5,92,269,0,1,5,112,323,91.7
09X412,91,94,8,159,265,4,250,189,59,35,24,5,19,11,5,14,Bronx High School of Business,2017-18,284,126,158,7,65,205,0,1,5,115,255,95
09X413,18,15,35,225,232,3,165,338,13,13,13,1,12,0,0,0,Bronx High School for Medical Science,2017-18,433,236,197,33,122,267,1,2,5,55,367,91.2
09X505,42,103,15,234,460,12,328,395,99,70,50,1,49,20,7,12,"Bronx School for Law, Government and Justice",2017-18,771,431,340,9,190,550,1,3,7,80,701,87.2
09X517,34,94,6,299,220,2,274,258,66,58,32,1,31,26,3,4,Frederick Douglass Academy III Secondary School,2017-18,424,175,249,4,183,222,1,4,7,60,371,92.9
09X525,33,71,8,224,325,9,244,384,6,6,3,0,3,3,0,0,Bronx Leadership Academy High School,2017-18,583,287,296,3,183,382,1,1,10,118,511,92.5
09X543,28,72,1,119,202,0,47,276,11,3,0,0,0,3,3,3,High School for Violin and Dance,2017-18,264,207,57,1,84,175,0,0,4,35,250.8,94.3
10X141,96,200,119,186,692,330,692,643,136,126,87,25,62,39,4,3,Riverdale / Kingsbridge Academy (Middle School / H,2017-18,1513,754,759,117,136,854,13,9,384,102,800,48.1
10X213,84,83,22,133,270,4,361,68,70,57,56,7,49,1,2,10,Bronx Engineering and Technology Academy,2017-18,399,63,336,12,114,253,1,5,11,63,365,87.6
10X225,27,87,7,134,375,10,183,345,20,14,13,0,13,1,3,2,Theatre Arts Production Company School,2017-18,608,408,200,8,161,420,1,4,10,47,493,88.2
10X237,39,76,10,162,296,5,85,391,7,1,0,0,0,1,5,0,"The Marie Curie School for Medicine, Nursing, and",2017-18,489,364,125,14,144,307,1,7,16,63,390,86.7
10X243,64,87,21,197,343,3,330,237,66,45,17,0,17,28,5,14,West Bronx Academy for the Future,2017-18,607,286,321,11,110,472,1,2,10,75,574,90.2
10X268,441,2,34,27,421,15,260,237,5,1,0,0,0,1,3,1,Kingsbridge International High School,2017-18,470,243,227,21,16,414,0,0,19,404,446.5,95
10X284,30,64,3,133,275,11,239,183,39,28,23,1,22,5,4,5,Bronx School of Law and Finance,2017-18,380,171,209,5,97,262,0,2,12,76,333,90.7
10X319,14,21,0,76,129,2,74,134,11,1,1,0,1,0,8,2,Providing Urban Learners Success In Education High,2017-18,239,125,114,0,27,137,0,74,1,11,222,91.3
10X342,214,4,0,0,269,1,157,113,21,17,17,3,14,0,0,4,International School for Liberal Arts,2017-18,523,256,267,1,2,519,0,0,1,355,496.85,95
10X368,150,165,44,133,905,26,556,562,16,15,13,0,13,2,0,1,In-Tech Academy (M.S. / High School 368),2017-18,1003,468,535,41,88,818,4,11,40,166,874,82
10X374,15,17,4,79,133,4,102,120,86,79,73,5,68,6,1,5,Knowledge and Power Preparatory Academy Internatio,2017-18,488,285,203,12,133,316,0,3,16,70,451,85.7
