,DBN,Total Enrollment_x,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch,Total Number in Cohort,Total Number of Grads,Percentage of Grads per Cohort,Total Number of Regents,All Regents as Percentage of Cohort,All Regents as Percentage of Grads,Number of Advanced Regents,Percentage of Advanced Regents per Cohort,Advanced Regents Percentage of Grads,Number of non-Advanced Regents,Percentage of non-Advanced Regents per Cohort,Non-Advanced Regents Percentage of Grads,Number of Local Diplomas,Percentage of Local per Cohort,Local as Percentage of Grads,Number Still Enrolled,Percentage of Cohort Still Enrolled,Number Dropped Out,Dropped Out Percentage of Cohort,Total Enrollment_y,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,School Name,Latitude,Longitude
193,13K605,956.8571428571429,16.0,1.6721409375933114,136.71428571428572,14.287847118542848,639.4285714285714,66.8259181845327,317.42857142857144,33.174081815467304,65.32857142857144,105.91494252873564,71.48045977011495,67.488550778113,47.641379310344824,44.980791352853075,66.6495143757638,4.836781609195402,6.766578761175788,4.5666659431771315,42.804597701149426,40.41412540967595,59.88293561458802,23.862068965517242,22.529464111301632,33.382646169679035,14.448275862068966,13.641395177218762,13.627586206896552,12.866537885529485,728.4,148.0,20.318506315211422,591.0,81.13673805601319,77.52000000000001,George Westinghouse Career and Technical Education High School,40.69494,-73.98604
194,13K670,897.4285714285714,1.5,0.16714422158548234,25.714285714285715,2.865329512893983,376.14285714285717,41.91340337472143,521.2857142857143,58.086596625278574,51.271428571428565,119.02050113895217,112.86104783599089,94.8248803827751,108.09111617312072,90.81722488038277,95.77362451055585,37.87243735763098,33.55669478868123,31.820095693779905,70.21867881548975,58.99712918660287,62.21692972187463,4.769931662870159,4.007655502392344,4.226375489444153,3.630979498861048,3.0507177033492825,2.2369020501138954,1.879425837320574,837.4,124.8,14.90327203248149,600.6,71.72199665631717,68.96000000000001,Benjamin Banneker Academy,40.69566,-73.96929
195,13K674,235.0,11.0,4.680851063829787,35.666666666666664,15.177304964539006,185.33333333333334,78.86524822695036,49.666666666666664,21.134751773049647,64.56666666666666,61.76836158192091,50.53107344632768,81.80737217598096,45.932203389830505,74.36202323241561,90.8989266547406,0.8248587570621468,1.6323792486583184,1.3354065672733924,45.10734463276836,73.02661666514221,89.26654740608228,4.598870056497175,7.445348943565351,9.101073345259392,9.209039548022599,14.908991127778284,1.536723163841808,2.487880728070978,444.8,84.4,18.974820143884894,336.6,75.67446043165468,65.82000000000001,"City Polytechnic High School of Engineering, Architecture, and Technology",40.69494,-73.98604
196,14K071,883.5714285714286,168.71428571428572,19.09458367016977,228.14285714285714,25.820533548908646,472.2857142857143,53.451899757477776,411.2857142857143,46.54810024252223,81.34285714285714,53.11675126903553,29.890862944162436,56.27389143730886,23.573604060913706,44.38073394495413,78.86558546319097,0.3299492385786802,1.1038464804279529,0.621177370030581,23.243654822335024,43.75955657492355,77.761738982763,6.317258883248731,11.89315749235474,21.134414536809036,11.588832487309645,21.81766055045872,10.109137055837563,19.03191896024465,507.6,168.4,33.17572892040977,441.6,86.99763593380615,92.66,Juan Morel Campos Secondary School,40.70358,-73.95324
197,14K449,238.16666666666666,1.25,0.5248425472358292,3.5,1.4695591322603219,128.16666666666666,53.813855843247026,110.0,46.18614415675298,52.166666666666664,47.478547854785475,46.68646864686469,98.33171138606981,46.42244224422442,97.77561518142639,99.43446910787502,15.884488448844884,34.023752297469244,33.456137911858754,30.537953795379536,64.31947726956764,65.41071681040576,0.264026402640264,0.5560962046434033,0.5655308921249822,0.6732673267326733,1.4180453218406786,0.1188118811881188,0.2502432920895315,762.4,19.4,2.544596012591815,465.2,61.01783840503673,55.739999999999995,Brooklyn Latin School,40.7099,-73.94366
198,14K454,286.0,20.833333333333332,7.284382284382283,39.333333333333336,13.752913752913754,134.5,47.02797202797203,151.5,52.972027972027966,72.38333333333334,45.71875,29.265625,64.0123034859877,25.303125,55.34518113465482,86.46022423918848,0.0,0.0,0.0,25.303125,55.34518113465482,86.46022423918848,3.9625,8.667122351332877,13.539775760811532,5.965625,13.04853041695147,9.553125,20.895420369104578,333.4,80.0,23.99520095980804,272.0,81.58368326334734,83.64,Green School: An Academy for Environmental Careers,40.7099,-73.94366
199,14K474,1031.857142857143,147.14285714285714,14.260002768932575,114.57142857142857,11.103419631731967,469.7142857142857,45.52125155752457,562.1428571428571,54.47874844247542,73.84285714285714,114.73112338858195,78.94106813996316,68.80527777331899,60.55616942909761,52.78094351434213,76.71060305610638,1.7845303867403315,2.260585559314126,1.555402173389621,58.77163904235727,51.22554134095251,74.45001749679226,18.38489871086556,16.024334258976868,23.289396943893617,16.662983425414364,14.523507600443025,16.83977900552486,14.67760317180051,609.8,140.8,23.089537553296164,537.6,88.16005247622172,90.17999999999999,PROGRESS High School for Professional Careers,40.71196,-73.94043
200,14K477,819.5714285714286,40.42857142857143,4.932891755272792,99.57142857142857,12.149206902562316,375.14285714285717,45.773052117831625,444.42857142857144,54.22694788216839,68.47142857142858,95.79826464208243,60.79175704989154,63.458098408169725,44.94143167028199,46.912573874057465,73.92685102586975,2.056399132321041,3.3826940231935767,2.146593302085456,42.88503253796095,44.765980571972015,70.54415700267619,15.850325379609545,16.545524534112268,26.073148974130245,14.66594360086768,15.309195480379504,18.297180043383946,19.09969884292281,333.4,63.4,19.016196760647873,306.8,92.02159568086384,89.64,School for Legal Studies,40.71196,-73.94043
201,14K478,876.1428571428571,96.14285714285714,10.973422468612425,106.14285714285714,12.114788847219957,568.2857142857143,64.8622207728681,307.85714285714283,35.13777922713191,71.92857142857143,101.10536044362291,82.24214417744916,81.3430107133716,68.79482439926063,68.04270722878351,83.64911334367206,10.451016635859519,12.707616928505608,10.33675819956854,58.34380776340111,57.70594902921496,70.94149641516644,13.44731977818854,13.300303484588103,16.350886656327962,9.719038817005545,9.612782917108486,7.988909426987061,7.901568613111998,743.0,131.4,17.685060565275908,642.4,86.46029609690444,85.0,"High School for Enterprise, Business, and Technology",40.71196,-73.94043
202,14K488,340.7142857142857,5.571428571428571,1.6352201257861636,52.714285714285715,15.471698113207546,154.28571428571428,45.283018867924525,186.42857142857142,54.71698113207547,70.15714285714286,56.455089820359284,47.865269461077844,84.7846839202376,38.90119760479042,68.90644887568943,81.27228373053106,0.5838323353293413,1.2197410395946706,1.0341535850657615,38.31736526946108,67.87229529062367,80.05254269093639,8.964071856287426,15.878235044548155,18.727716269468946,3.9730538922155687,7.037547730165464,3.592814371257485,6.364022061943148,528.2,92.8,17.569102612646724,446.2,84.4755774327906,77.26,Brooklyn Preparatory High School,40.71504,-73.95465
