Total Enrollment,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch
1263.2857142857142,283.7142857142857,22.45844170530363,156.42857142857142,12.38267556259188,638.2857142857143,50.52583964717856,625.0,49.47416035282144,67.15714285714286
152.6,5.8,3.800786369593709,2.4,1.5727391874180863,59.2,38.79423328964614,93.4,61.20576671035387,43.42
145.0,46.0,31.724137931034484,36.0,24.82758620689655,78.5,54.137931034482754,133.0,91.72413793103448,73.9
414.57142857142856,25.857142857142858,6.237077877325983,76.57142857142857,18.470020675396277,193.0,46.55410062026189,221.57142857142858,53.445899379738115,69.22857142857143
322.14285714285717,213.71428571428572,66.34146341463413,1.7142857142857142,0.532150776053215,152.42857142857142,47.317073170731696,169.71428571428572,52.6829268292683,82.37142857142858
1893.4285714285713,326.57142857142856,17.247623358985965,235.28571428571428,12.426437301946583,855.0,45.156179266636485,1038.4285714285713,54.843820733363515,69.07142857142857
3182.4285714285716,1.5,0.04713381514566593,8.428571428571429,0.26484715177088475,1841.142857142857,57.853391390223095,1341.2857142857142,42.1466086097769,26.028571428571432
799.2857142857143,43.142857142857146,5.397676496872207,89.0,11.134941912421805,431.57142857142856,53.99463806970509,367.7142857142857,46.0053619302949,64.11428571428571
212.42857142857142,25.142857142857142,11.83591123066577,48.714285714285715,22.93207800941493,117.42857142857143,55.27908540685945,95.0,44.720914593140556,80.37142857142858
126.0,11.0,8.73015873015873,25.0,19.841269841269842,93.0,73.80952380952381,33.0,26.190476190476193,60.0
467.57142857142856,2.3333333333333335,0.4990324880334047,13.571428571428571,2.902535899786129,111.85714285714286,23.92300641613199,355.7142857142857,76.07699358386802,46.542857142857144
2626.5714285714284,311.7142857142857,11.867725443272056,322.42857142857144,12.275644512128794,1305.2857142857142,49.69542042858697,1321.2857142857142,50.30457957141303,68.51428571428572
707.7142857142857,52.142857142857146,7.367783609204684,92.14285714285714,13.019781994348001,271.85714285714283,38.4134033104562,435.85714285714283,61.5865966895438,68.7
204.71428571428572,4.428571428571429,2.1632937892533146,16.285714285714285,7.955338450802511,48.857142857142854,23.866015352407537,155.85714285714286,76.13398464759247,64.94285714285715
213.0,31.0,14.553990610328638,40.0,18.779342723004692,115.0,53.990610328638496,196.0,92.01877934272301,79.1
467.14285714285717,374.0,80.0611620795107,4.0,0.8562691131498471,238.71428571428572,51.10091743119266,228.42857142857142,48.89908256880734,87.47142857142856
392.2857142857143,20.0,5.098324836125273,63.42857142857143,16.168973051711582,159.28571428571428,40.60451565914057,233.0,59.395484340859426,74.52857142857144
430.0,20.285714285714285,4.717607973421926,33.714285714285715,7.840531561461795,210.71428571428572,49.00332225913622,219.28571428571428,50.99667774086378,69.95714285714286
298.42857142857144,154.0,51.60363810435615,4.166666666666667,1.3962023296633157,155.57142857142858,52.13020584011488,142.85714285714286,47.86979415988511,82.98571428571428
437.85714285714283,276.14285714285717,63.06688417618271,11.142857142857142,2.544861337683524,258.14285714285717,58.955954323001635,179.71428571428572,41.04404567699837,83.89999999999999
394.0,45.57142857142857,11.566352429296591,54.142857142857146,13.741841914430747,234.0,59.390862944162436,160.0,40.609137055837564,79.38571428571429
698.5714285714286,11.571428571428571,1.6564417177914113,59.714285714285715,8.548057259713701,332.2857142857143,47.56646216768916,366.2857142857143,52.43353783231084,38.08571428571429
