Total Enrollment,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,DBN
539.4,82.6,15.313311086392286,117.0,21.690767519466075,21.46,02M416
673.6,90.8,13.479809976247031,337.6,50.1187648456057,49.0,02M418
347.0,81.8,23.57348703170029,297.0,85.5907780979827,85.6,02M419
1790.4,243.2,13.58355674709562,1373.4,76.70911528150134,76.67999999999999,02M420
578.0,169.8,29.377162629757787,403.4,69.79238754325259,67.53999999999999,02M422
387.6,75.2,19.40144478844169,324.6,83.74613003095975,83.18,02M425
218.8,21.0,9.59780621572212,207.85999999999999,94.99999999999999,95.0,02M427
279.4,69.2,24.767358625626347,235.6,84.32355046528275,82.28,02M432
416.8,105.6,25.335892514395393,347.6,83.39731285988485,84.03999999999999,02M437
339.6,11.8,3.4746760895170787,293.0,86.27797408716135,95.0,02M438
450.0,74.0,16.444444444444446,334.0,74.22222222222223,65.78,02M439
430.8,98.6,22.88765088207985,324.8,75.39461467038069,78.06,02M449
312.6,7.6,2.4312220089571337,228.4,73.06461932181702,94.8,02M459
3338.8,19.4,0.5810470827842338,1525.0,45.67509284772972,41.1,02M475
733.6,137.0,18.675027262813522,581.4,79.25299890948745,77.22,02M489
285.4,61.0,21.373510861948144,255.8,89.62859145059566,85.8,02M500
452.4,108.0,23.87267904509284,279.2,61.715296198054816,69.17999999999999,02M507
507.4,72.8,14.347654710287742,284.2,56.01103665746945,54.379999999999995,02M519
165.2,32.4,19.612590799031477,133.0,80.5084745762712,80.76,02M520
340.8,70.8,20.77464788732394,270.6,79.40140845070422,80.78,02M529
238.0,45.0,18.907563025210084,161.8,67.98319327731093,54.239999999999995,02M531
415.0,69.4,16.722891566265062,353.4,85.1566265060241,84.12,02M533
453.6,109.8,24.206349206349202,308.2,67.9453262786596,67.4,02M534
513.6,36.2,7.048286604361372,440.6,85.78660436137072,91.78,02M542
461.6,121.4,26.299826689774697,372.4,80.67590987868284,86.02000000000001,02M543
334.0,96.4,28.862275449101798,297.0,88.92215568862275,89.92,02M544
394.0,16.0,4.060913705583756,341.6,86.70050761421321,79.86,02M545
450.6,115.0,25.521526853084776,314.2,69.72924988903684,71.5,02M546
400.8,11.2,2.7944111776447103,323.6,80.73852295409182,95.0,02M550
525.0,125.2,23.847619047619048,303.0,57.714285714285715,56.02,02M551
575.4,154.8,26.903023983315954,398.2,69.20403197775461,74.2,02M560
147.4,28.6,19.402985074626866,86.8,58.88738127544097,56.839999999999996,02M565
247.0,61.4,24.858299595141702,201.4,81.53846153846153,86.5,02M570
723.4,72.4,10.008294166436274,630.6,87.17168924523087,92.26,02M575
371.0,73.0,19.67654986522911,304.8,82.15633423180593,77.02000000000001,02M580
61.4,22.0,35.83061889250814,52.6,85.66775244299674,85.2,02M586
1625.6,296.8,18.257874015748033,1334.4,82.08661417322836,77.22,02M600
252.6,50.2,19.873317498020587,200.8,79.49326999208235,76.62,02M605
445.6,101.2,22.710951526032318,376.0,84.38061041292639,80.16,02M615
1481.4,323.4,21.830700688537867,854.6,57.68867287700823,55.620000000000005,02M630
415.4,97.8,23.54357246027925,342.8,82.52286952335099,87.17999999999999,02M655
572.25,117.75,20.57667103538663,125.5,21.930974224552205,23.7,03M291
263.4,64.6,24.525436598329538,224.4,85.19362186788156,88.67999999999999,03M299
390.8,65.0,16.632548618219037,333.6,85.36335721596726,83.58,03M307
296.2,76.4,25.793382849426067,252.6,85.28021607022282,85.3,03M402
430.8,92.0,21.355617455896006,362.4,84.12256267409471,86.67999999999999,03M403
162.8,24.6,15.11056511056511,138.8,85.25798525798525,87.53999999999999,03M404
331.8,72.6,21.880650994575042,274.0,82.57986738999396,87.0,03M415
407.6,88.4,21.68792934249264,216.6,53.140333660451425,48.2,03M417
1456.2,193.2,13.267408323032548,462.6,31.767614338689743,33.16,03M479
2720.8,91.2,3.35195530726257,799.6,29.38841517200823,31.580000000000002,03M485
419.8,72.4,17.24630776560267,374.2,89.13768461171986,84.47999999999999,03M492
